name: netflix.*.*..www00...www.denominator_net
quantiles: [{50 31743} {99 720895}]
From    To      Count  Prob    Bar
2048    2559    1      0.1250  :############
8704    9215    1      0.1250  :############
14336   14847   1      0.1250  :############
30720   31743   1      0.1250  :############
34816   36863   1      0.1250  :############
163840  172031  2      0.2500  :#########################
688128  720895  1      0.1250  :############
