name: netflixoss.*.*..www00...www.denominator_serv
quantiles: [{50 106495} {99 180223}]
From    To      Count  Prob    Bar
61440   63487   1      0.0120  :#
65536   69631   2      0.0241  :##
69632   73727   3      0.0361  |###
73728   77823   3      0.0361  |###
77824   81919   1      0.0120  |#
86016   90111   4      0.0482  :####
90112   94207   6      0.0723  |#######
94208   98303   9      0.1084  |##########
98304   102399  9      0.1084  |##########
102400  106495  6      0.0723  |#######
106496  110591  3      0.0361  |###
110592  114687  8      0.0964  |#########
114688  118783  2      0.0241  |##
118784  122879  3      0.0361  |###
122880  126975  6      0.0723  |#######
126976  131071  3      0.0361  |###
131072  139263  2      0.0241  |##
139264  147455  2      0.0241  |##
147456  155647  1      0.0120  |#
155648  163839  4      0.0482  |####
163840  172031  2      0.0241  |##
172032  180223  2      0.0241  |##
278528  294911  1      0.0120  :#
